år,transportmåte,statistikkvariabel,Fylkeskommunale ruter,I alt,Kommersielle ruter
2022,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,626181.0,0.0
2022,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,56366.0,0.0
2022,Buss,Billettinntekter (1 000 kr),4388083.0,5269509.0,881425.0
2022,Buss,Ordinære (1 000 passasjerer),326202.0,331197.0,4995.0
2022,Buss,Passasjerer i alt (1 000 passasjerer),381956.0,386951.0,4995.0
2022,Buss,Skoleskyss (1 000 passasjerer),55754.0,55754.0,0.0
2022,Båt,Billettinntekter (1 000 kr),536159.0,561794.0,25635.0
2022,Båt,Ordinære (1 000 passasjerer),7753.0,9792.0,2039.0
2022,Båt,Passasjerer i alt (1 000 passasjerer),8201.0,10240.0,2039.0
2022,Båt,Skoleskyss (1 000 passasjerer),448.0,448.0,0.0
2022,Jernbane,Billettinntekter (1 000 kr),0.0,5941385.0,0.0
2022,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2022,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,66695.0,0.0
2022,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2022,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1841388.0,1841388.0,0.0
2022,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),162131.0,162131.0,0.0
2022,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),162294.0,162294.0,0.0
2022,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),164.0,164.0,0.0
2023,Alle transportformer,Billettinntekter (1 000 kr),0.0,15839670.0,0.0
2023,Alle transportformer,Ordinære (1 000 passasjerer),0.0,580651.0,0.0
2023,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,713044.0,0.0
2023,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,54173.0,0.0
2023,Buss,Billettinntekter (1 000 kr),5147741.0,6589795.0,1442054.0
2023,Buss,Ordinære (1 000 passasjerer),379662.0,385857.0,6195.0
2023,Buss,Passasjerer i alt (1 000 passasjerer),433229.0,439424.0,6195.0
2023,Buss,Skoleskyss (1 000 passasjerer),53567.0,53567.0,0.0
2023,Båt,Billettinntekter (1 000 kr),575691.0,603187.0,27497.0
2023,Båt,Ordinære (1 000 passasjerer),8134.0,10290.0,2157.0
2023,Båt,Passasjerer i alt (1 000 passasjerer),8495.0,10652.0,2157.0
2023,Båt,Skoleskyss (1 000 passasjerer),361.0,361.0,0.0
2023,Jernbane,Billettinntekter (1 000 kr),0.0,6682407.0,0.0
2023,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2023,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,78220.0,0.0
2023,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2023,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1964282.0,1964282.0,0.0
2023,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),184504.0,184504.0,0.0
2023,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),184748.0,184748.0,0.0
2023,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),245.0,245.0,0.0
