transportmåte,ruteform,statistikkvariabel,år,value
Buss,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2017,57398.0
Buss,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2018,54367.0
Buss,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2019,59362.0
Buss,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2020,42720.0
Buss,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2021,54596.0
Buss,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2022,55754.0
Buss,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2023,53567.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2015,293151.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2016,302378.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2017,329386.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2018,340120.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2019,365796.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2020,244679.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2021,250334.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2022,326202.0
Buss,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2023,379662.0
Båt,I alt,Billettinntekter (1 000 kr),2015,523670.0
Båt,I alt,Billettinntekter (1 000 kr),2016,572168.0
Båt,I alt,Billettinntekter (1 000 kr),2017,594126.0
Båt,I alt,Billettinntekter (1 000 kr),2018,606571.0
Båt,I alt,Billettinntekter (1 000 kr),2019,609018.0
Båt,I alt,Billettinntekter (1 000 kr),2020,381317.0
Båt,I alt,Billettinntekter (1 000 kr),2021,404733.0
Båt,I alt,Billettinntekter (1 000 kr),2022,561794.0
Båt,I alt,Billettinntekter (1 000 kr),2023,603187.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2015,10921.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2016,11423.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2017,11538.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2018,11512.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2019,11582.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2020,7471.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2021,7727.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2022,10240.0
Båt,I alt,Passasjerer i alt (1 000 passasjerer),2023,10652.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2015,268.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2016,341.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2017,359.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2018,335.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2019,302.0
Båt,I alt,Skoleskyss (1 000 passasjerer),2020,238.0
